crime,category
Acid attack,NA
Agrarian riots,NA
Arson,Property Crime
Assault on women with intent to outrage her modesty,Crime Against Women
Attempt to acid attack,NA
Attempt to commit culpable homicide not amounting to murder,NA
Attempt to commit murder,Violent Crime
Attempt to commit rape,NA
Auto theft,Property Crime
Burglary,Property Crime
Caste conflict riots,NA
Causing death by negligence,Other Crime
Causing injuries under rash driving/road rage,Other Crime
Cheating,Economic Crime
Communal riots,NA
Counterfeit currency & bank notes total,NA
Counterfeiting,Other Crime
Counterfeiting currency - notes or bank notes,NA
Counterfeiting government stamp,NA
Criminal breach of trust,Economic Crime
Criminal trespass/burglary,NA
Cruelty by husband or his relatives,Crime Against Women
Culpable homicide not amounting to murder,Violent Crime
Custodial rape,NA
Dacoity,Property Crime
Dacoity with murder,NA
Deaths due to other causes,NA
Deaths due to rash/negligent driving,Other Crime
Disclosure of identity of victims,NA
Dowry deaths,Crime Against Women
Extortion,Other Crime
Forgery,Economic Crime
Gang rape,NA
Gang rape other than custodial,NA
Grievous hurt,Other Crime
Grievous hurt total,Other Crime
House trespass & house breaking,NA
Human trafficking,NA
Hurt,Other Crime
Importation of girls from foreign country,NA
Imputation, assertions prejudicial to national integration,NA
Industrial riots,NA
Insult to modesty of women at office premises,NA
Insult to modesty of women at other places,NA
Insult to modesty of women in other places related to work,NA
Insult to modesty of women in public transport system,NA
Insult to the modesty of women,Crime Against Women
Kidnapping & abduction,Violent Crime
Kidnapping & abduction in order to murder,NA
Kidnapping & abduction of others,NA
Kidnapping & abduction of women and girls,Crime Against Women
Kidnapping & abduction of women to compel her for marriage,NA
Kidnapping for ransom,NA
Kidnapping of others,NA
Making or possessing materials for forged currency/bank notes,NA
Making or using documents resembling currency notes/bank notes,NA
Making preparation and assembly for committing dacoity,NA
Molestation,Crime Against Women
Murder,Violent Crime
Offences against state,NA
Offences promoting enmity between different groups,NA
Offences related to counterfeit coin,NA
Other cases of assault on women to outrage her modesty,NA
Other caste conflict riots,NA
Other dacoity,NA
Other IPC crimes,Other Crime
Other kidnapping & abduction,NA
Other offences against state,NA
Other rape,NA
Other rape other than custodial,NA
Other theft,Property Crime
Political riots,NA
Possession of forged or counterfeiting currency/bank notes,NA
Preparation & assembly for dacoity,NA
Promoting enmity between different groups on ground of religion, race, place of birth, etc
Promoting enmity between different groups on ground of religion, race, place of birth, etc.
Rape,Crime Against Women
Rape other than custodial,NA
Riots,Violent Crime
Riots others,NA
Robbery,Property Crime
SCs/STs vs Non-SCs/STs riots,NA
Sectarian riots,NA
Sedition,NA
Sexual harassment,Crime Against Women
Stalking,NA
Student riots,NA
Theft,Property Crime
Total cognizable crimes under IPC,NA
Unlawful assembly,Other Crime
Unnatural offences,NA
Use of criminal force with intent to disrobe women,NA
Using as genuine, forged or counterfeiting currency/bank notes,NA
Voyeurism,NA